0	5	14	335	410	0
1	14	1	490	560	0
2	1	14	605	680	0
3	14	1	880	950	0
4	1	14	995	1070	0
5	14	1	1220	1290	0
6	11	14	355	455	1
7	14	0	505	605	1
8	0	14	880	980	1
9	14	0	1030	1130	1
10	5	14	355	450	2
11	14	2	510	605	2
12	2	14	660	755	2
13	14	2	805	900	2
14	2	14	950	1045	2
15	14	2	1140	1235	2
16	14	5	365	440	3
17	5	9	485	555	3
18	9	5	595	670	3
19	5	9	720	790	3
20	9	5	830	905	3
21	5	9	945	1015	3
22	9	5	1055	1130	3
23	5	9	1195	1265	3
24	14	16	395	455	4
25	16	5	575	645	4
26	5	16	700	770	4
27	16	5	850	920	4
28	5	16	990	1060	4
29	16	5	1105	1175	4
30	5	17	1230	1315	4
31	13	5	335	400	5
32	5	13	485	550	5
33	13	5	600	665	5
34	5	13	705	770	5
35	13	5	815	880	5
36	5	13	975	1040	5
37	13	5	1085	1150	5
38	5	13	1200	1265	5
39	17	14	340	420	6
40	14	17	470	540	6
41	17	14	580	660	6
42	14	17	710	780	6
43	17	14	820	900	6
44	14	17	950	1020	6
45	17	14	1060	1140	6
46	14	17	1190	1260	6
47	14	17	350	420	7
48	17	14	460	540	7
49	14	17	590	660	7
50	17	14	700	780	7
51	14	17	830	900	7
52	17	14	940	1020	7
53	14	17	1070	1140	7
54	14	17	410	480	8
55	17	14	520	600	8
56	14	17	650	720	8
57	17	14	760	840	8
58	14	17	890	960	8
59	17	14	1000	1080	8
60	14	17	1130	1200	8
61	17	14	400	480	9
62	14	17	530	600	9
63	17	14	640	720	9
64	14	17	770	840	9
65	17	14	880	960	9
66	14	17	1010	1080	9
67	17	14	1120	1200	9
68	17	14	490	570	10
69	14	3	645	720	10
70	3	14	770	850	10
71	14	3	955	1030	10
72	3	14	1080	1160	10
73	14	3	1205	1280	10
74	11	14	390	470	11
75	14	11	515	590	11
76	11	14	630	710	11
77	14	11	755	830	11
78	11	14	870	950	11
79	14	11	995	1070	11
80	11	14	1110	1190	11
81	16	14	490	550	12
82	14	16	625	685	12
83	16	14	815	875	12
84	14	15	935	1020	12
85	15	14	1070	1155	12
86	14	16	1200	1260	12
87	14	7	490	585	13
88	7	14	645	735	13
89	14	12	780	860	13
90	12	14	905	990	13
91	14	12	1030	1110	13
92	12	6	1165	1225	13
93	5	14	330	400	14
94	14	9	495	555	14
95	9	14	605	675	14
96	14	9	730	790	14
97	9	14	835	905	14
98	14	9	1125	1185	14
99	17	5	445	530	15
100	5	4	595	675	15
101	4	5	755	840	15
102	5	10	1065	1150	15
103	10	5	1200	1290	15
104	11	14	450	530	16
105	14	11	575	650	16
106	11	14	690	770	16
107	14	11	815	890	16
108	11	14	930	1010	16
109	14	11	1055	1130	16
110	13	14	480	550	17
111	14	4	610	675	17
112	4	8	765	835	17
113	8	4	895	960	17
114	4	8	1015	1085	17
115	8	4	1140	1205	17
116	17	14	370	450	18
117	14	8	570	635	18
118	8	14	680	745	18
119	14	8	820	885	18
120	8	14	970	1035	18
121	14	17	1105	1185	18
122	13	8	345	420	19
123	8	13	475	550	19
124	13	8	610	685	19
125	8	17	900	965	19
126	17	8	1015	1075	19
127	8	13	1125	1200	19
128	11	5	395	485	20
129	5	11	570	655	20
130	11	5	725	815	20
131	5	11	875	960	20
132	11	14	1020	1100	20
133	14	11	1150	1225	20
134	16	5	340	435	21
135	5	10	490	575	21
136	10	5	630	720	21
137	5	12	770	805	21
138	12	5	935	1030	21
139	5	12	1110	1205	21
140	11	14	330	410	22
141	14	11	455	530	22
142	11	14	840	920	22
143	14	11	1115	1190	22
144	17	5	385	480	23
145	5	12	575	670	23
146	12	5	720	815	23
147	5	12	880	975	23
148	12	14	1025	1110	23
149	14	11	1160	1235	23
