0	0	1	315	349
1	0	3	320	369
2	0	4	320	361
3	0	2	330	365
4	0	2	370	406
5	1	0	372	405
6	0	4	380	420
7	0	1	380	415
8	0	3	385	434
9	4	0	385	424
10	2	0	390	420
11	3	0	392	440
12	0	2	430	465
13	2	0	430	459
14	0	1	435	470
15	1	0	440	472
16	4	0	445	485
17	0	3	450	499
18	0	2	450	486
19	0	1	450	485
20	3	0	460	508
21	0	4	465	505
22	0	1	465	499
23	0	3	470	519
24	0	1	485	520
25	2	0	485	514
26	1	0	495	527
27	0	3	500	549
28	0	2	510	546
29	2	0	510	539
30	1	3	510	543
31	3	1	525	560
32	1	4	525	553
33	4	0	530	570
34	0	2	535	570
35	0	1	540	574
36	3	0	542	590
37	1	0	543	575
38	0	4	555	596
39	0	2	560	596
40	0	1	565	599
41	3	0	568	615
42	3	4	570	596
43	2	0	570	599
44	4	0	580	619
45	1	0	590	622
46	0	1	595	629
47	2	0	595	625
48	0	2	600	636
49	1	2	600	645
50	0	4	615	655
51	4	0	620	659
52	2	0	620	650
53	1	0	623	655
54	0	1	625	660
55	4	1	625	654
56	0	3	640	689
57	0	2	645	681
58	0	1	650	685
59	0	4	650	690
60	1	0	653	685
61	2	1	670	712
62	2	0	670	700
63	0	4	675	715
64	1	0	678	710
65	0	2	680	716
66	4	0	680	720
67	0	1	690	725
68	1	0	693	725
69	2	0	705	734
70	0	2	710	746
71	1	0	710	742
72	3	0	713	760
73	4	0	715	755
74	0	1	725	759
75	0	3	735	784
76	4	0	740	780
77	2	0	740	769
78	0	2	745	781
79	1	4	750	778
80	1	0	753	785
81	0	4	760	801
82	0	2	770	806
83	2	0	770	799
84	0	1	780	815
85	1	0	782	815
86	0	4	785	826
87	4	0	800	839
88	0	3	805	854
89	2	1	805	847
90	3	0	808	855
91	0	1	810	844
92	0	2	810	845
93	0	4	825	866
94	2	0	830	859
95	4	1	831	860
96	0	2	840	876
97	1	0	840	872
98	0	1	850	885
99	4	0	850	889
100	0	4	865	905
101	2	0	870	899
102	1	0	870	902
103	1	2	870	915
104	0	1	880	915
105	3	0	880	927
106	0	3	885	934
107	1	0	885	917
108	4	0	895	934
109	0	2	900	936
110	2	0	900	929
111	1	0	910	942
112	0	1	915	950
113	0	4	925	966
114	4	0	930	970
115	0	1	935	970
116	1	0	938	970
117	2	0	940	970
118	0	3	955	1004
119	0	1	960	995
120	0	2	960	996
121	3	0	960	1007
122	2	0	960	989
123	1	4	972	1000
124	0	3	975	1024
125	4	0	990	1029
126	0	4	995	1035
127	0	2	995	1030
128	0	1	995	1030
129	1	0	997	1030
130	0	1	1020	1055
131	1	0	1020	1052
132	4	3	1025	1050
133	2	0	1025	1054
134	3	0	1028	1075
135	0	3	1040	1089
136	3	0	1050	1097
137	1	3	1052	1085
138	0	2	1055	1091
139	0	4	1055	1095
140	2	0	1055	1084
141	4	1	1060	1089
142	3	0	1073	1120
143	0	1	1080	1115
144	1	0	1080	1112
145	0	2	1100	1136
146	0	4	1110	1151
147	3	0	1110	1157
148	1	0	1113	1145
149	2	0	1115	1144
150	3	1	1120	1155
151	4	0	1120	1160
152	0	3	1125	1174
153	1	0	1140	1172
154	0	2	1144	1180
155	0	1	1150	1185
156	2	0	1155	1184
157	0	4	1170	1210
158	4	0	1175	1214
159	1	0	1180	1212
160	3	0	1200	1247
161	0	2	1205	1241
162	0	1	1205	1240
163	2	0	1205	1234
164	1	0	1210	1242
165	4	0	1235	1274
166	2	0	1260	1290
167	1	0	1260	1293
